trace_id,filepath,rel_path,source_split,split_origin,attack_family,attack_scenario,label,label_binary,length,sha1,is_empty,has_parse_error,parse_error,protocol,fold,split
T_45f8f1d3b4d8,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_10\UAD-Adduser-10-1371.txt,Attack_Data_Master\Adduser_10\UAD-Adduser-10-1371.txt,attack,attack,Adduser,10.0,attack,1,239,60f431c6b553130b596f7453a7ef65480d312c08,False,False,,protocol_cv_by_scenario,4,train
T_987315f46250,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_10\UAD-Adduser-10-1613.txt,Attack_Data_Master\Adduser_10\UAD-Adduser-10-1613.txt,attack,attack,Adduser,10.0,attack,1,735,952e621016fd40cbd5f4385302d4820d48a5f38e,False,False,,protocol_cv_by_scenario,4,train
T_e21193d96f6f,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_10\UAD-Adduser-10-2311.txt,Attack_Data_Master\Adduser_10\UAD-Adduser-10-2311.txt,attack,attack,Adduser,10.0,attack,1,691,6a1007374b251dcdc352a2e84cf5ef78772d2983,False,False,,protocol_cv_by_scenario,4,train
T_4b1cc2748d83,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_10\UAD-Adduser-10-2462.txt,Attack_Data_Master\Adduser_10\UAD-Adduser-10-2462.txt,attack,attack,Adduser,10.0,attack,1,618,e496767c96f4e960462d56f07550ebb069720ae8,False,False,,protocol_cv_by_scenario,4,train
T_eb61364c0da3,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_10\UAD-Adduser-10-2783.txt,Attack_Data_Master\Adduser_10\UAD-Adduser-10-2783.txt,attack,attack,Adduser,10.0,attack,1,458,3eba2904ada2015f5358ffc7d1dfa9459c3a6287,False,False,,protocol_cv_by_scenario,4,train
T_1b1827366f4f,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_10\UAD-Adduser-10-=1.txt,Attack_Data_Master\Adduser_10\UAD-Adduser-10-=1.txt,attack,attack,Adduser,10.0,attack,1,447,855acf4f4a16b1f60adb16db14fcb36da8e05d6c,False,False,,protocol_cv_by_scenario,4,train
T_279618ad7142,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_1\UAD-Adduser-1-1371.txt,Attack_Data_Master\Adduser_1\UAD-Adduser-1-1371.txt,attack,attack,Adduser,1.0,attack,1,279,6e219dce7eee50cc95a9538702b8cefa0325593a,False,False,,protocol_cv_by_scenario,4,train
T_a28513e02680,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_1\UAD-Adduser-1-1613.txt,Attack_Data_Master\Adduser_1\UAD-Adduser-1-1613.txt,attack,attack,Adduser,1.0,attack,1,766,2c617dee2170553d67429d1e4be9742da537950e,False,False,,protocol_cv_by_scenario,4,train
T_0364ffbc2571,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_1\UAD-Adduser-1-2311.txt,Attack_Data_Master\Adduser_1\UAD-Adduser-1-2311.txt,attack,attack,Adduser,1.0,attack,1,569,d97c34e224bb4b66e18c8c254d40a74ada6ceb29,False,False,,protocol_cv_by_scenario,4,train
T_c592bc02c861,C:\Users\223114186\Desktop\System_Call_Based_Intrusion_Detection\syscall-anomaly-detection\data\raw\adfa-ld\ADFA-LD\Attack_Data_Master\Adduser_1\UAD-Adduser-1-2377.txt,Attack_Data_Master\Adduser_1\UAD-Adduser-1-2377.txt,attack,attack,Adduser,1.0,attack,1,1068,d49ae55d3518a461dd5a011874d1c7d53c48d340,False,False,,protocol_cv_by_scenario,4,train
