model,length_bin,count,error_rate,mean_length
lstm_post_e128_h128_d0.1,"(74.999, 142.0]",258.0,0.21705426356589147,113.99612403100775
lstm_post_e128_h128_d0.1,"(142.0, 247.0]",257.0,0.15953307392996108,189.36964980544747
lstm_post_e128_h128_d0.1,"(247.0, 428.0]",258.0,0.1124031007751938,327.7829457364341
lstm_post_e128_h128_d0.1,"(428.0, 972.0]",256.0,0.1640625,644.53515625
lstm_post_e128_h128_d0.1,"(972.0, 4094.0]",257.0,0.1556420233463035,1785.0933852140079
rf_tfidf,"(74.999, 142.0]",258.0,0.2558139534883721,113.99612403100775
rf_tfidf,"(142.0, 247.0]",257.0,0.19455252918287938,189.36964980544747
rf_tfidf,"(247.0, 428.0]",258.0,0.1511627906976744,327.7829457364341
rf_tfidf,"(428.0, 972.0]",256.0,0.16015625,644.53515625
rf_tfidf,"(972.0, 4094.0]",257.0,0.19066147859922178,1785.0933852140079
