trace_id,model,y_true,y_pred,y_score,attack_family,attack_scenario,length,label_binary,error_type
T_4852a47c012a,rf_tfidf,0,1,0.6425,,,227,0,false_positive
T_a61049b64e7a,rf_tfidf,0,1,0.6175,,,180,0,false_positive
T_20522eb92cc0,rf_tfidf,0,1,0.7575,,,92,0,false_positive
T_67d0dd5fed17,rf_tfidf,0,1,0.78,,,150,0,false_positive
T_96d0b2622bd7,rf_tfidf,0,1,0.725,,,244,0,false_positive
T_5f6e82fc6619,rf_tfidf,0,1,0.73,,,494,0,false_positive
T_3cee95d85970,rf_tfidf,0,1,1.0,,,1399,0,false_positive
T_cfd8380b344c,rf_tfidf,0,1,0.8675,,,584,0,false_positive
T_4bd14ef05c80,rf_tfidf,0,1,0.58,,,108,0,false_positive
T_58e94c186ab5,rf_tfidf,0,1,0.9475,,,395,0,false_positive
T_01ed58bcd9ca,rf_tfidf,0,1,0.99,,,994,0,false_positive
T_a2cded267be0,rf_tfidf,0,1,0.7175,,,100,0,false_positive
T_5fcdeaf7ccc2,rf_tfidf,0,1,0.5175,,,308,0,false_positive
T_3c03b4b6b333,rf_tfidf,0,1,0.6025,,,613,0,false_positive
T_ff41408c399f,rf_tfidf,0,1,0.5325,,,97,0,false_positive
T_f3a0f651cfb3,rf_tfidf,0,1,0.6,,,411,0,false_positive
T_8038b9acab10,rf_tfidf,0,1,0.93,,,125,0,false_positive
T_4867aa00a31a,rf_tfidf,0,1,0.7175,,,104,0,false_positive
T_a78eb3961c5d,rf_tfidf,0,1,0.9125,,,2629,0,false_positive
T_b28136f6ac9f,rf_tfidf,0,1,0.56,,,120,0,false_positive
T_146dea8316b3,rf_tfidf,0,1,0.9775,,,149,0,false_positive
T_af90ce62dae1,rf_tfidf,0,1,0.86,,,112,0,false_positive
T_9c7b061a6768,rf_tfidf,0,1,0.5621428571428572,,,3103,0,false_positive
T_bad3b37d199b,rf_tfidf,0,1,0.965,,,449,0,false_positive
T_953105fb5447,rf_tfidf,0,1,0.78,,,379,0,false_positive
T_725e54dc4390,rf_tfidf,0,1,0.8075,,,2198,0,false_positive
T_dffb0e53fbbc,rf_tfidf,0,1,0.7725,,,142,0,false_positive
T_a21b529bf20e,rf_tfidf,0,1,0.82,,,1184,0,false_positive
T_e39bb7c44934,rf_tfidf,0,1,0.705,,,1066,0,false_positive
T_cb3f7c56162e,rf_tfidf,0,1,0.615,,,175,0,false_positive
T_cc965a3d4b18,rf_tfidf,0,1,0.7175,,,1893,0,false_positive
T_6b4a890921bf,rf_tfidf,0,1,0.6225,,,513,0,false_positive
T_1e984e9154b8,rf_tfidf,0,1,0.885,,,428,0,false_positive
T_02e1518b6465,rf_tfidf,0,1,0.7175,,,295,0,false_positive
T_b578ca6a1f20,rf_tfidf,0,1,0.595,,,1536,0,false_positive
T_ef82578a6495,rf_tfidf,0,1,0.69,,,217,0,false_positive
T_d5bb891b9e05,rf_tfidf,0,1,0.5121428571428571,,,119,0,false_positive
T_c5ccfa1d2281,rf_tfidf,0,1,0.56,,,327,0,false_positive
T_a9eb76608c14,rf_tfidf,0,1,0.905,,,320,0,false_positive
T_e73624300c74,rf_tfidf,0,1,0.5625,,,100,0,false_positive
T_d507b087959a,rf_tfidf,0,1,0.8325,,,141,0,false_positive
T_bedf46ad8375,rf_tfidf,0,1,0.665,,,139,0,false_positive
T_e82141e90f68,rf_tfidf,0,1,0.645,,,308,0,false_positive
T_2221b8410380,rf_tfidf,0,1,0.625,,,137,0,false_positive
T_043a3d4917b2,rf_tfidf,0,1,0.6275,,,94,0,false_positive
T_5af816b1123f,rf_tfidf,0,1,0.9575,,,868,0,false_positive
T_5c699271f365,rf_tfidf,0,1,0.7575,,,93,0,false_positive
T_4b25d2555116,rf_tfidf,0,1,0.5375,,,147,0,false_positive
T_a7106e9a8834,rf_tfidf,0,1,0.855,,,215,0,false_positive
T_3ee8d8d73f4f,rf_tfidf,0,1,0.71,,,236,0,false_positive
T_e268b1925444,rf_tfidf,0,1,0.9025,,,528,0,false_positive
T_ce4f0b19aefd,rf_tfidf,0,1,0.9,,,103,0,false_positive
T_21dab91e344c,rf_tfidf,0,1,0.9675,,,354,0,false_positive
T_9f03fbce1c4f,rf_tfidf,0,1,0.99,,,883,0,false_positive
T_d0ffc047c620,rf_tfidf,0,1,0.9975,,,752,0,false_positive
T_e96cf64f5e33,rf_tfidf,0,1,0.925,,,1322,0,false_positive
T_73ec7caa71e2,rf_tfidf,0,1,0.9775,,,815,0,false_positive
T_8d0acbe0619f,rf_tfidf,0,1,0.9375,,,149,0,false_positive
T_93c0b71215f9,rf_tfidf,0,1,0.7575,,,1261,0,false_positive
T_cc552e741131,rf_tfidf,0,1,0.8475,,,423,0,false_positive
T_43b62143a5e8,rf_tfidf,0,1,0.79,,,269,0,false_positive
T_fd58364c1814,rf_tfidf,0,1,0.78,,,243,0,false_positive
T_49ebf8644fba,rf_tfidf,0,1,0.5925,,,169,0,false_positive
T_866139f9af3b,rf_tfidf,0,1,0.8775,,,1744,0,false_positive
T_f0d63250f800,rf_tfidf,0,1,0.7825,,,259,0,false_positive
T_2558757b3bd9,rf_tfidf,0,1,0.8275,,,567,0,false_positive
T_3e01ebd5ae50,rf_tfidf,0,1,0.93,,,1524,0,false_positive
T_fa0571a1b59c,rf_tfidf,0,1,0.62,,,359,0,false_positive
T_424f19c10d21,rf_tfidf,0,1,0.56,,,2007,0,false_positive
T_6ee4d4bfc233,rf_tfidf,0,1,0.7175,,,1219,0,false_positive
T_4f3c5e657af3,rf_tfidf,0,1,0.8325,,,141,0,false_positive
T_bb7f5b6c0d41,rf_tfidf,0,1,0.665,,,139,0,false_positive
T_68526c136d90,rf_tfidf,0,1,0.645,,,308,0,false_positive
T_d183a7788254,rf_tfidf,0,1,0.625,,,137,0,false_positive
T_b5af749fce7e,rf_tfidf,0,1,0.61,,,193,0,false_positive
T_04bdbf7cbfd8,rf_tfidf,0,1,0.5625,,,138,0,false_positive
T_7cd8df5d7aa0,rf_tfidf,0,1,0.6075,,,313,0,false_positive
T_7b7bbf6c5b17,rf_tfidf,0,1,0.6325,,,135,0,false_positive
T_5adb759e8068,rf_tfidf,0,1,0.7225,,,520,0,false_positive
T_db08c232f39a,rf_tfidf,0,1,0.8625,,,264,0,false_positive
