model,algorithm,feature_set,split,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr
lstm_post_e128_h128_d0.1,lstm,sequence_post,test,0.838258164852255,0.4342507645259938,0.8606060606060606,0.5772357723577236,0.8898223988322115,0.4548666338602435,0.1650312221231043,0.1393939393939394
rf_tfidf,rf,tfidf,test,0.8094867807153966,0.3963730569948187,0.9272727272727272,0.5553539019963702,0.928713540399535,0.6414942378066664,0.207850133809099,0.0727272727272727
rf_bow,rf,bow,test,0.8141524105754276,0.4005376344086021,0.9030303030303032,0.5549348230912476,0.9310518206147108,0.6765173645679291,0.1989295272078501,0.0969696969696969
lstm_post_e64_h128_d0.3,lstm,sequence_post,test,0.8219284603421462,0.4069767441860465,0.8484848484848485,0.550098231827112,0.8580542264752791,0.3669115777161901,0.1819803746654772,0.1515151515151515
lstm_post_e128_h128_d0.3,lstm,sequence_post,test,0.8118195956454122,0.3945205479452054,0.8727272727272727,0.5433962264150943,0.8670370070013246,0.4769131631361704,0.1971454058876003,0.1272727272727272
lstm_post_e128_h128_d0.5,lstm,sequence_post,test,0.8234836702954899,0.4054878048780488,0.806060606060606,0.539553752535497,0.8657719027924201,0.4372506211061028,0.1739518287243532,0.1939393939393939
lstm_post_e128_h256_d0.1,lstm,sequence_post,test,0.812597200622084,0.3914285714285714,0.8303030303030303,0.5320388349514563,0.8860622279890791,0.4496716675879657,0.1900089206066012,0.1696969696969697
lstm_post_e128_h256_d0.3,lstm,sequence_post,test,0.8265940902021773,0.4046052631578947,0.7454545454545455,0.5245202558635395,0.8426134674127538,0.3396979519640594,0.1614629794826048,0.2545454545454545
lstm_post_e64_h128_d0.1,lstm,sequence_post,test,0.8141524105754276,0.3885542168674699,0.7818181818181819,0.5191146881287726,0.8631524883085989,0.3913265258439729,0.1810883140053523,0.2181818181818181
lstm_post_e64_h256_d0.5,lstm,sequence_post,test,0.812597200622084,0.3869047619047619,0.7878787878787878,0.5189620758483033,0.8510583083286027,0.364464502595078,0.183764495985727,0.2121212121212121
lstm_post_e128_h256_d0.5,lstm,sequence_post,test,0.8180404354587869,0.3925233644859813,0.7636363636363637,0.5185185185185185,0.845978968994134,0.3411914035770302,0.1739518287243532,0.2363636363636363
lstm_post_e64_h128_d0.5,lstm,sequence_post,test,0.7908242612752722,0.3673469387755102,0.8727272727272727,0.5170556552962298,0.8629227151082637,0.422066909076418,0.2212310437109723,0.1272727272727272
lstm_post_e64_h256_d0.1,lstm,sequence_post,test,0.8063763608087092,0.38,0.806060606060606,0.516504854368932,0.8453815586732625,0.3996756545738615,0.1935771632471008,0.1939393939393939
lr_bow,logreg,bow,test,0.7799377916018663,0.3567961165048544,0.8909090909090909,0.5095320623916811,0.8667774984456518,0.3897657277717389,0.2363960749330954,0.109090909090909
lstm_pre_e64_h128_d0.1,lstm,sequence_pre,test,0.7830482115085536,0.3582089552238806,0.8727272727272727,0.5079365079365079,0.85127456545833,0.4107222036587619,0.2301516503122212,0.1272727272727272
lstm_post_e64_h256_d0.3,lstm,sequence_post,test,0.7682737169517885,0.3449883449883449,0.896969696969697,0.4983164983164983,0.8623739626415808,0.4479034215054622,0.2506690454950936,0.103030303030303
lr_bigram,logreg,bigram,test,0.755054432348367,0.3362445414847161,0.9333333333333332,0.4943820224719101,0.8448057740653636,0.3416386218648088,0.2711864406779661,0.0666666666666666
lstm_pre_e64_h128_d0.3,lstm,sequence_pre,test,0.7620528771384136,0.3284671532846715,0.8181818181818182,0.46875,0.8310274916876166,0.3932651401676637,0.2462087421944692,0.1818181818181818
lr_tfidf,logreg,tfidf,test,0.7628304821150855,0.3267326732673267,0.8,0.4639718804920913,0.851947665774606,0.359429362027847,0.2426404995539696,0.2
